# dialogue_ru.tsv — перевод реплик, записываемый прямо в базу Dialogue System.
# Колонки: conversationId | entryId | перевод.  Ищется по паре id, кладётся в поле «ru».
# Строки с # пропускаются. « \n » разворачивается в перенос строки.
#
# --- LOCKED (2026-08-29): согласовано с пользователем ---
#
# Реплики, у которых перевода в игре не было вовсе
31	237	Пожалуй, я передумаю.
81	170	Всё такой же горячий, а? Не буду задерживать — у меня дела. Располагайтесь, все вы.
115	65	Конечно. О чём бы вы хотели поговорить?
269	157	Да, но за материалы придётся доплатить.
330	217	Отлично, Рефоргер, монета у вас.
330	218	Вскоре Фиби погрузилась в глубокий сон, а Клементе молча смотрел на свою ученицу с тревогой.
373	123	Впрочем, я слышала об архимаге-затворнике, живущем в башне в Бреавуде. Он преданный последователь леди Альянас, и шепчутся, будто ему слышны божественные пророчества этой благородной госпожи. Возможно, у него есть знание, которое мы ищем.
392	44	Рада, что выбор оказался мудрым. Веди.
392	45	Ох, милый друг, я тебе наскучила? Шучу. Раз решение твёрдое — я не спорю.
392	46	Да, решено.
392	47	Впрочем, я передумаю.
392	48	Что ж, пока разойдёмся. Понадоблюсь — найди меня.
392	49	Я чуть было не расстроилась. К счастью, решение верное. Идём.
440	152	О… именно этой реакции я и ждал. Что ж, понесу это бремя один.
448	160	Дай-ка подумать…
449	11	Госпожа, мне поручено забрать одного старика. Есть ли способ его увести?
449	16	Удивительно: среди странников попадаются понятливые. Раз вы умеете говорить о выгоде — так и быть, дам вам возможность.
#
# В базе лежал ПОЛЬСКИЙ текст — брак разработчиков, переведено с оригинала
83	467	Эй! Это ты. А я как раз думала, не поразвлечься ли нам вместе!
85	468	Эй! Это ты. А я как раз думал, не поразвлечься ли нам вместе!
#
# «Счастливый день» — корабль Эрика, он же казино (Lucky Day)
174	369	Пираты всегда знают, как повеселиться после доброй резни. Вот, возьми эти деньги, купи себе новый наряд взамен запачканного кровью. А на остальное как следует погуляй на «Счастливом дне». Хахахахахахаха!
348	12	Оседлый игорный дом — это же скучно, вам не кажется? Такие, как мы, только и думают, как разнести смех и удачу по всему свету. «Счастливый день» — он весь в хозяина. А моя миссия — нести Евангелие Альянаса. Пусть всем моим гостям сопутствует удача.
